index,type,flags,type_raw,x,y,param,y_byte_raw
0,19,0,19,16,160,0,160
1,20,0,20,88,176,0,176
2,16,0,16,176,176,0,176
3,16,0,16,240,176,0,176
4,16,0,16,252,48,0,48
5,16,0,16,88,40,0,40
6,16,0,16,104,40,0,40
7,16,0,16,268,48,0,48
8,16,0,16,304,184,0,184
9,11,0,11,360,112,6,118
10,12,0,12,464,240,6,246
11,24,0,24,584,32,0,32
12,22,0,22,632,32,0,32
13,17,0,17,568,168,0,168
14,16,0,16,568,200,0,200
15,17,0,17,600,168,0,168
16,16,0,16,600,200,0,200
17,17,0,17,632,168,0,168
18,16,0,16,632,200,0,200
19,16,0,16,704,168,0,168
20,16,0,16,720,168,0,168
21,11,0,11,800,112,5,117
22,13,0,13,976,192,4,196
23,11,0,11,840,192,3,195
24,16,0,16,828,224,0,224
25,16,0,16,844,224,0,224
26,20,0,20,1000,224,0,224
27,16,0,16,1072,144,0,144
28,16,0,16,1088,144,0,144
29,16,0,16,1244,40,0,40
30,16,0,16,1260,40,0,40
31,23,0,23,1248,200,0,200
32,13,0,13,1040,80,0,80
33,12,0,12,1168,80,0,80
34,16,0,16,1332,88,0,88
35,16,0,16,1348,88,0,88
36,19,0,19,1304,32,0,32
37,13,0,13,1536,96,1,97
38,11,0,11,1736,96,0,96
39,16,0,16,1552,184,0,184
40,16,0,16,1616,184,0,184
41,16,0,16,1680,184,0,184
42,16,0,16,1788,152,0,152
43,18,0,18,1592,24,0,24
44,20,0,20,1776,120,0,120
45,16,0,16,1804,152,0,152
46,13,0,13,1936,96,2,98
47,20,0,20,1984,152,0,152
48,16,0,16,1856,184,0,184
49,16,0,16,1904,184,0,184
50,16,0,16,1952,184,0,184
51,12,0,12,2104,80,4,84
52,11,0,11,2224,80,4,84
53,16,0,16,2264,32,0,32
54,16,0,16,2280,32,0,32
55,16,0,16,2324,56,0,56
56,16,0,16,2340,56,0,56
57,25,0,25,2360,24,0,24
58,11,0,11,2456,64,1,65
59,16,0,16,2528,40,0,40
60,16,0,16,2544,40,0,40
61,16,0,16,2720,16,0,16
62,16,0,16,2736,16,0,16
63,6,0,6,2688,240,0,240
64,21,0,21,2792,88,0,88
65,21,0,21,2792,232,0,232
66,12,0,12,2864,64,0,64
67,16,0,16,2920,24,0,24
68,16,0,16,2940,24,0,24
69,16,0,16,3000,24,0,24
70,16,0,16,3064,24,0,24
71,6,0,6,2840,240,0,240
72,6,0,6,3040,240,0,240
73,16,0,16,2908,176,0,176
74,16,0,16,2924,176,0,176
75,24,0,24,2864,168,0,168
76,22,0,22,3048,88,0,88
77,16,0,16,3196,56,0,56
78,16,0,16,3216,80,0,80
79,16,0,16,3226,112,0,112
80,21,0,21,3232,144,0,144
81,13,0,13,3104,96,2,98
82,11,0,11,3096,208,2,210
