index,type,flags,type_raw,x,y,param,y_byte_raw
0,34,0,34,96,1008,0,240
1,16,0,16,184,944,0,176
2,16,0,16,200,944,0,176
3,16,0,16,360,960,0,192
4,16,0,16,376,960,0,192
5,16,0,16,456,960,0,192
6,16,0,16,472,960,0,192
7,16,0,16,552,960,0,192
8,16,0,16,568,960,0,192
9,16,0,16,688,960,0,192
10,16,0,16,752,912,0,144
11,34,0,34,944,880,1,113
12,16,0,16,824,800,0,32
13,17,0,17,824,832,0,64
14,16,0,16,776,800,0,32
15,17,0,17,776,832,0,64
16,16,0,16,728,800,0,32
17,17,0,17,728,832,0,64
18,13,0,13,520,824,4,60
19,16,0,16,344,784,0,16
20,16,0,16,312,784,0,16
21,16,0,16,280,784,0,16
22,21,0,21,248,792,0,24
23,34,0,34,96,752,0,240
24,15,0,15,224,696,1,185
25,17,0,17,280,688,0,176
26,17,0,17,312,688,0,176
27,17,0,17,344,688,0,176
28,17,0,17,376,688,0,176
29,16,0,16,480,656,0,144
30,16,0,16,528,656,0,144
31,16,0,16,672,656,0,144
32,16,0,16,728,656,0,144
33,17,0,17,664,696,0,184
34,20,0,20,744,696,0,184
35,31,0,31,164,592,0,80
36,31,0,31,188,592,0,80
37,17,0,17,176,536,0,24
38,17,0,17,272,536,0,24
39,13,0,13,216,624,6,118
40,31,0,31,244,592,0,80
41,31,0,31,276,592,0,80
42,16,0,16,308,584,0,72
43,16,0,16,324,584,0,72
44,20,0,20,376,616,0,104
45,13,0,13,488,624,0,112
46,17,0,17,480,608,0,96
47,17,0,17,496,608,0,96
48,31,0,31,612,576,0,64
49,31,0,31,652,584,0,72
50,16,0,16,628,536,0,24
51,16,0,16,732,536,0,24
52,31,0,31,708,592,0,80
53,31,0,31,740,576,0,64
54,31,0,31,844,576,0,64
55,31,0,31,804,576,0,64
56,24,0,24,856,528,0,16
57,15,0,15,904,624,3,115
58,20,0,20,104,416,0,160
59,16,0,16,156,416,0,160
60,16,0,16,188,416,0,160
61,32,0,32,168,496,1,241
62,32,0,32,224,496,1,241
63,16,0,16,284,416,0,160
64,16,0,16,300,416,0,160
65,13,0,13,352,456,5,205
66,17,0,17,424,488,0,232
67,17,0,17,448,488,0,232
68,16,0,16,556,480,0,224
69,16,0,16,572,480,0,224
70,13,0,13,613,448,2,194
71,32,0,32,624,496,1,241
72,16,0,16,716,480,0,224
73,16,0,16,732,480,0,224
74,32,0,32,776,496,1,241
75,23,0,23,816,400,0,144
76,22,0,22,184,280,0,24
77,7,0,7,272,296,5,45
78,15,0,15,328,368,3,115
79,7,0,7,392,296,1,41
80,7,0,7,500,296,3,43
81,12,0,12,600,320,1,65
82,18,0,18,584,352,0,96
83,32,0,32,696,368,0,112
84,7,0,7,724,296,2,42
85,20,0,20,720,296,0,40
86,32,0,32,744,368,0,112
87,16,0,16,788,344,0,88
88,16,0,16,804,344,0,88
89,7,0,7,848,296,5,45
90,20,0,20,8,232,0,232
91,15,0,15,144,240,4,244
92,16,0,16,148,192,0,192
93,16,0,16,164,192,0,192
94,16,0,16,260,208,0,208
95,16,0,16,288,176,0,176
