index,type,flags,type_raw,x,y,param,y_byte_raw
0,18,0,18,24,88,0,88
1,16,0,16,212,184,0,184
2,16,0,16,224,184,0,184
3,20,0,20,104,200,0,200
4,10,0,10,176,240,2,242
5,24,0,24,296,168,0,168
6,10,0,10,460,208,1,209
7,16,0,16,368,104,0,104
8,16,0,16,408,176,0,176
9,16,0,16,432,72,0,72
10,26,0,26,592,144,1,145
11,11,0,11,548,160,2,162
12,10,0,10,688,128,2,130
13,20,0,20,608,32,0,32
14,16,0,16,672,32,0,32
15,16,0,16,736,32,0,32
16,17,0,17,616,184,0,184
17,17,0,17,708,216,0,216
18,17,0,17,748,216,0,216
19,12,0,12,728,224,3,227
20,16,0,16,800,40,0,40
21,29,0,29,872,192,0,192
22,10,0,10,936,96,1,97
23,22,0,22,960,48,0,48
24,29,0,29,1048,176,0,176
25,29,0,29,1096,224,1,225
26,20,0,20,1192,192,0,192
27,23,0,23,1288,120,0,120
28,11,0,11,1304,224,1,225
29,11,0,11,1464,128,1,129
30,16,0,16,1440,200,0,200
31,16,0,16,1504,200,0,200
32,27,0,27,1552,48,2,50
33,26,0,26,1600,80,0,80
34,27,0,27,1696,80,1,81
35,18,0,18,1736,56,0,56
36,16,0,16,1668,112,0,112
37,16,0,16,1684,112,0,112
38,16,0,16,1656,208,0,208
39,12,0,12,1776,224,3,227
40,20,0,20,1560,208,0,208
41,29,0,29,1848,224,0,224
42,29,0,29,1872,144,0,144
43,10,0,10,1968,48,5,53
44,16,0,16,1912,128,0,128
45,16,0,16,1960,128,0,128
46,16,0,16,1992,152,0,152
47,16,0,16,1992,184,0,184
48,16,0,16,1992,216,0,216
49,17,0,17,2052,232,0,232
50,17,0,17,2084,232,0,232
51,29,0,29,2136,240,0,240
52,16,0,16,2104,120,0,120
53,16,0,16,2104,152,0,152
54,16,0,16,2104,184,0,184
55,20,0,20,2176,40,0,40
56,11,0,11,2268,144,1,145
57,16,0,16,2360,120,0,120
58,16,0,16,2432,120,0,120
59,16,0,16,2504,80,0,80
60,12,0,12,2564,112,0,112
61,26,0,26,2600,224,5,229
62,23,0,23,2600,232,0,232
63,10,0,10,2664,80,1,81
64,22,0,22,2952,72,0,72
65,20,0,20,2952,136,0,136
66,16,0,16,2976,200,0,200
67,16,0,16,3040,200,0,200
68,10,0,10,3040,152,4,156
69,29,0,29,2984,152,0,152
70,16,0,16,3008,112,0,112
71,11,0,11,3080,80,5,85
72,24,0,24,3152,40,0,40
73,16,0,16,3192,88,0,88
74,16,0,16,3208,104,0,104
75,16,0,16,3192,120,0,120
76,16,0,16,3208,136,0,136
77,16,0,16,3192,152,0,152
78,18,0,18,3320,8,0,8
79,25,0,25,3096,192,0,192
